User,Date Created,Number of Likes,Source of Tweet,Tweets
RetinoidRecept,2022-05-31 22:53:57+00:00,0,,"@DanThor9 @godsfavoriteant @Yuzucchi00 @MsBlaireWhite @elonmusk I think some of the people they nitpick are in fact grooming kids, even if just unconsciously.  Some are also not grooming and just opened about it and the right are ‘groomer crazy’ like the left is ‘racist crazy’.  Both sides are full of deluded and sick people that are used."
JorgeNu74166621,2022-05-31 22:53:26+00:00,0,,@LALegault @stillgray Okay Groomer
JorgeNu74166621,2022-05-31 22:52:30+00:00,1,,@Ricketts10Susan @stillgray Okay Groomer
kyzernick85,2022-05-31 22:52:23+00:00,0,,"Pornsick groomer and groomer-bait, all of them."
jadestone_6,2022-05-31 22:50:25+00:00,0,,I need a groomer that can handle a dog with a lot of energy. Like stop telling me to drug my dog.
Joel0903,2022-05-31 22:47:39+00:00,0,,@ClintNorris88 @libsoftiktok Ok Groomer
McFollyPI,2022-05-31 22:47:21+00:00,6,,"🚨GROOMER ALERT 🚨
🚨GROOMER ALERT 🚨
🚨GROOMER ALERT 🚨

We need to rid our world of Pedos like this thing"
the_eco_thought,2022-05-31 22:47:00+00:00,2,,"Yep. 

Misusing Words Like ‘Groomer’ Isn’t Just Wrong. It’s Dangerous. https://t.co/jCNm43YSho"
Christinaa1616,2022-05-31 22:46:58+00:00,1,,@ArisDumbPrivate Isnt that the groomer?
MyBuddyNutmeg,2022-05-31 22:46:52+00:00,8,,@WaukeganLibrary why are you celebrating groomer activities? disgusting that tax dollars fund this sick entertainment
JohnPow62265340,2022-05-31 22:46:22+00:00,0,,@Standup_Tragic_ @allenweird2 @bmariner @huntersayshi @libsoftiktok @AbbottMiddle Annnd another groomer
lucozadism,2022-05-31 22:44:16+00:00,59,,"liam payne is publicly both a groomer and a deadbeat dad, so i’m not sure what gives him the audacity to comment on anyone’s character, other than the desperation to drum up enough attention to drag himself back from the pits of obscurity"
shakes2011,2022-05-31 22:42:45+00:00,1,,You sound like a groomer
CromoDelTato,2022-05-31 22:42:30+00:00,0,,@_janiree La del groomer
JorgeNu74166621,2022-05-31 22:41:36+00:00,0,,@deananthony1962 @NickAdamsinUSA ONG you spelled America with a K….. you’re a funny groomer
JorgeNu74166621,2022-05-31 22:40:54+00:00,0,,"@ByasseeMark @NickAdamsinUSA Majority suicide….
Nice try groomer"
JorgeNu74166621,2022-05-31 22:40:32+00:00,0,,@marcelloup @NickAdamsinUSA Okay Groomer
JorgeNu74166621,2022-05-31 22:40:15+00:00,0,,@622valleyviewdr @NickAdamsinUSA Okay Groomer
SilliSami,2022-05-31 22:40:12+00:00,0,,"@Anusien @lolacoaster Hopefully you have an easier time finding an available groomer in your area. Here in S/E NC, they are booked out 2 months. We lost a lot in 20/21/22 - retired or sick. Our own groomer (at the vet) is now out on sick leave... 😢"
BippyTheGuy,2022-05-31 22:39:53+00:00,1,,@Rog_Sauce @daballa4reel @V3NUS_P4STEL @JNakisona @shoe0nhead @EstrogenVamps Don't give groomery takes if you don't want to be called a groomer.
JorgeNu74166621,2022-05-31 22:39:26+00:00,0,,@JaimeMarcus2 @NickAdamsinUSA Okay Groomer
hun____ter,2022-05-31 22:39:24+00:00,38,,"@bugfangz do people not realize how fucking weird it is when they write lists like this. ""pedophile, groomer, and internet trolls are all equally bad"""
JorgeNu74166621,2022-05-31 22:39:19+00:00,0,,@PaulFontana6 @NickAdamsinUSA Okay Groomer
SilasAshe,2022-05-31 22:39:15+00:00,3,,@nytopinion @kciesemier Ok groomer https://t.co/JT25UqFUZV
DeadVikingBob,2022-05-31 22:38:11+00:00,0,,@laurenboebert Lauren Boebert - the mass shooting enabler and groomer in Congress
iamcoup,2022-05-31 22:38:02+00:00,0,,"@RonFilipkowski Apparently if you tweet the female dog term with the word whiny instead of saying moaning and complaining it becomes hateful conduct that violates Twitter's rules.

But MAGA's spewing hateful comments and calling me a groomer because I am gay is totally fine.

Be better @Twitter"
scottinclearh2o,2022-05-31 22:37:25+00:00,0,,"@dirkisbeast @TB_Times @GOP Are you insane? I've shown you several convictions and/or confessions, but you do you #groomer."
ChelseaGirlT,2022-05-31 22:36:28+00:00,0,,"@laurenboebert .@laurenboebert Hey, groomer!
https://t.co/IlRrIU2kSr"
CharlesRByrd,2022-05-31 22:35:52+00:00,0,,@LibertyMarieEP I think the G in GLSEN stands for groomer.
80s_MEME_CENTER,2022-05-31 22:35:31+00:00,0,,@ConceptualJames Ok groomer
p38lightning,2022-05-31 22:31:30+00:00,2,,"@nytopinion @kciesemier Ok, Groomer."
StargazingShep,2022-05-31 22:30:08+00:00,9,,"You willingly gave your money to a proven Zoophile, groomer, sadist and abuser... 🤔🤔🤔

SO
WHAT WAS THE REASON??!
#FuckDHC https://t.co/XR5UPnZCjD"
Gelzazz,2022-05-31 22:30:04+00:00,6,,im on break but like please dont tell me to 0FF myself. you guys are literally so messed up. Im not a groomer either. jesus christ. https://t.co/Tyxcul2Oph
