User,Date Created,Number of Likes,Source of Tweet,Tweets
doggroomeracade,2020-05-31 20:36:12+00:00,0,,"Focus, focus , focus!!! @doggroomeracade #becomeadoggroomer #futuredoggroomer #doggroomer2020 #doggroomingschool @ Dog Groomer Academy https://t.co/4QmcEtFpCX"
SmellyDogAZ,2020-05-31 20:33:42+00:00,1,,"What a wild week it’s been! We hope everyone is enjoying their Sunday 💗🐶💗

#sundaydogmeme #smellydogaz #smellydog #meme #dog #cutedog #funnydog #funnymeme #funny #dogmeme #phoenix #groomer #doggroomer #phoenixdoggroomer #scottsdale #downtownphoenix https://t.co/F8ZNm7JeQb"
DawnNRichards,2020-05-31 20:30:33+00:00,0,,"Finley, Aston, Ruby, Moe, Tyson, Bowie and Hudson feeling fantastic after their Spaw 😍😘
#groom #grooming #doggrooming #groomer #groomersofinstagram #groomingday #groominspiration #grooms #groomers #petgrooming… https://t.co/tZxCfEoen0"
eveforward,2020-05-31 20:29:00+00:00,1,,@loresjoberg You should get your sardonic glands expressed regularly; your vet or groomer can do it for you.
corganddox1215,2020-05-31 20:27:15+00:00,3,,@JeremyAdamRoss Hi Mr. Ross! We got cute ties at the groomer this week! We keep you and Chicago in our paw prayers 🙏🏻💚💛 https://t.co/WhGROVSB4T
HeyTerezi,2020-05-31 20:27:04+00:00,3,,you stupid groomer ass bitch shut the fuck up
oppuc3,2020-05-31 20:24:10+00:00,0,,"Dingus has since retired, but used to work at AppleBees as a groomer"
PiperJazzBird,2020-05-31 20:21:40+00:00,1,,Did Trump just ADMIT he's a pedophile/groomer?
sayings_old,2020-05-31 20:19:26+00:00,0,,A dictatorship that can enchant a pet groomer is a dictatorship indeed.
CChaos1969,2020-05-31 20:15:01+00:00,0,,@Keminyx1 @feminist_rachel @jk_rowling @Glinner OK groomer.
izzyvel_,2020-05-31 20:03:36+00:00,0,,"been knowing trump was a racist, but finding out he’s a groomer suddenly all my faith in this country is completely diminished."
hanashemz,2020-05-31 19:57:54+00:00,0,,Direk bat naman ganyan 😶 sayang lodi pa naman kita kaso predator-groomer-pedophile ka ih 🙊
HowardTDuck01,2020-05-31 19:56:56+00:00,0,,"Oh look, the groomer has something to say."
GaynorEarnest,2020-05-31 19:55:34+00:00,0,,"#PetLoveIsWorthIt Complete Guide to Dog Grooming: Skills, Techniques, and Instructions for the Home Groomer (Animal Planet) https://t.co/kNta7Tgiv4 https://t.co/0827dww8k5"
terrier_towers,2020-05-31 19:48:41+00:00,1,,@PFezzwig I've been north - eating cement dust and making big pongs teehee! My luffley groomer is back at work. Showcasing my summer wardrobe 💕🐾 https://t.co/dALNi3PpzM
LAST_TIME_DEALS,2020-05-31 19:46:14+00:00,0,,Pet Dog Cat Grooming Clippers Hair Trimmer Groomer Shaver Razor Quiet Clipper US https://t.co/QA3YWINvQR
amnaniel,2020-05-31 19:46:00+00:00,0,,@radioempyrea ok groomer
A_gligs,2020-05-31 19:36:01+00:00,15,,"So if this pharmacy gig doesn’t work out, guess I’ll become a dog groomer."
teesandshorts,2020-05-31 19:25:16+00:00,0,,During quarantine needed a dog groomer real bad. Dressed up for Easter.
ChristineWesl18,2020-05-31 19:21:45+00:00,1,,"@fluffybasil Hey Sir Basil, you are looking extra fluffy today. Have ypu been to the groomer?💖💖💖💖💖"
ShineyCat,2020-05-31 19:21:34+00:00,1,,@AliceKing69 Is ally the term we use for groomer of the vulnerable now?
Mariexxxx21,2020-05-31 19:20:42+00:00,2,,@MaDaMBu06332773 @chickadee512 @doddiefizzle Famous for been a GROOMER
DesignsByRAJA,2020-05-31 19:19:18+00:00,0,,Dog groomer embroidered toilet paper on #Etsy https://t.co/jyXAUmGhZa homedecor petlovers doglovers dogs grooming gifts giftideas crafts handmade shopsmall smallbiz pets embroidered humor #handmadehour
GreatKeith,2020-05-31 19:16:44+00:00,30,,@redvan1892 @EpiQword @hoeswilin I propose making “ok groomer” a response to Trump
oppuc3,2020-05-31 19:14:52+00:00,0,,Linus works as a groomer at DailyMotion
CaseValentine2,2020-05-31 19:08:01+00:00,1,,"@TGolgart Our 16 lb. yorkiepoo has bitten every groomer in town, have to go to another town now 😧"
ruprekt79,2020-05-31 19:05:00+00:00,5,,@FionneOrlander They lose their shit at Ok Groomer. Sickos
gingerfiest,2020-05-31 18:48:14+00:00,0,,We just rebathed husky because he had a massive brown chunk of something dried inside his fluffy tail. The groomer ripped a literal chunk of fur out of his tail &amp; it bled so bad it left a 1.5 inch gash. And now he’s traumatized as hell over baths &amp; being dried. I’m pissed &amp; sad!
the_viviparous,2020-05-31 18:33:39+00:00,0,,@JDOfficial OK groomer
springersmudge,2020-05-31 18:31:16+00:00,1,,My new jacket keeping me nice and chilled. Hope the groomer comes soon my hair is nearly as long as hubros. https://t.co/qG47j75ZKE
oppuc3,2020-05-31 18:24:56+00:00,0,,oppuc3 works as a groomer at DailyMotion
JOHNWIC27155421,2020-05-31 18:21:23+00:00,0,,"tiitc Windmill Cat Toys, Interactive Cat Toys for Indoor Cats, Multifunctional Self Groomer Best Cat Chew Toy with Catnip Toy Balls Light Cats Ball, Turnable Spinner Cat Toy with Suction Cup https://t.co/qrItfiU3qu"
ScottyDeals,2020-05-31 18:20:20+00:00,0,,"***New Deal***
Melissa &amp; Doug Animal Care Vet &amp; Groomer Wooden Activity Center - $150.00
https://t.co/d9ejQeobJC
#dailydeals #deals #discounts #dealsoftheday #Amazon https://t.co/BPNfVaS4ED"
Rolnikov,2020-05-31 18:17:31+00:00,0,,"@BlueMouseEeek Go for it. If someone is not involved in grooming, calling them a groomer would be defamatory. And as we've established at some length, I'm not a fan of defamation."
URaRa_Wisconsin,2020-05-31 18:10:42+00:00,0,,"@BrownDeerRepub So blame the dog groomer, hair stylist, and campground owner? Got it, thanks @geostanley !"
elicoor13,2020-05-31 18:10:29+00:00,1,,"Hey so...my dearest is being falsely accused of being a ""rapist"" and a ""groomer"" by her old community, while being a victim of both at the hands of someone who has been welcomed back by said community.

If you have some time, maybe send @Waltzofashes a supportive animal image."
BlueMouseEeek,2020-05-31 18:09:12+00:00,1,,"@Rolnikov I work with statistics, I base risk on facts not hearsay. I'm not sure how this is relevant to it not being ok to call an innocent person something as offensive as a groomer. I will report it every time I see it. It's gross."
TundraSaber,2020-05-31 18:08:32+00:00,1,,@RhubarbRaptor Honestly I'd leave it to the pros. Poodles are crazy hard and the budget you have for clippers and scissors are for really basic (and honestly crappy) quality stuff. good clippers are like $100-$200 and don't even get me started on scissors. I've been a groomer for 8 years &gt;&lt;
badbishes233,2020-05-31 18:00:59+00:00,0,,"@CactusCaos Why you mad? Your not cool, your not funny but just sad and edgy, how am I a groomer? Please explain oh wait you can’t because I said the truth, your disgusting and I wish I could spit on you cuz your just a sad piece of homophobe, go do your homework Caucasian"
TGolgart,2020-05-31 17:58:56+00:00,5,,"Neither do I, I am big on boycotting! I no longer go to my local Ace Hadwste store because they have an end-cap with all MAGA shit! I don’t do Hobby Lobby of Chick-fa-lay(might be incorrect spelling) either... for their reasons! I quit my dogs groomer because of a MAGA sign!"
WashCntyInsider,2020-05-31 17:45:39+00:00,0,,Dog groomer opening at Pet Supplies Plus in West Bend. https://t.co/yoz974JCr7
Ifyoublockmeyo4,2020-05-31 17:38:27+00:00,26,,@Onision I really dont believe you actually have 20k people worshipping your lil carrot but ok groomer https://t.co/jPfoWdM4fb
The_Bertruth,2020-05-31 17:23:41+00:00,1,,Groomer birds inside their buttholes. Don't mention it though it totally pisses them off to get the gears about that. #FakeElephantFacts
InAmyWeTrust,2020-05-31 17:19:30+00:00,0,,"@scottenitfam So you’re racist and like to joke about child grooming... yikes 😬 The SECOND you’re comfortable enough to joke about child grooming, you’re just as bad as a child groomer. “Normal” human beings would support one another, by not being racist."
NiaBenin,2020-05-31 17:18:33+00:00,1,,Ngl I can see Naomi Campbell as a child groomer for me.  Easy access to young women needing money
petsweekly,2020-05-31 16:57:16+00:00,0,,"Grooming, folks. Please make sure you keep your pets brushed out. This is a tough time of year and it can be hard to keep up, so talk to a professional groomer if you have a hard time keeping up. So glad this beautiful girl got some help! 
https://t.co/AKlQppcMcy"
Sandra55,2020-05-31 16:34:53+00:00,0,,"@TaniaaaScott I drove for the first time in weeks on Friday .... just to the dog groomers to drop off and collect Rosie.
Went through gates, closed gate, hitched lead to hook, waved to groomer and left 

It was wonderful"
Andis_Groomer,2020-05-31 16:29:07+00:00,0,,"Keep your at-home grooming game strong 💪 with the right tools to prevent (and remove!) fleas, ticks and matted fur as the weather warms up. ✅ Your groomer will thank you later! 😉 https://t.co/Os0iBOD1g0 #AndisGrooming https://t.co/xVrfOyOzBy"
reptilegrin,2020-05-31 16:27:20+00:00,2,,"@RhubarbRaptor You can get a lot of these items cheaper, but it's good to overprepare than underprepare! Chewy has some pretty good deals on dog supplies. Feel free to ask me about anything if you have questions about grooming and supplies - I am a groomer! I'm so excited for you"
michellelynn097,2020-05-31 16:25:16+00:00,0,,"@Shatterface @_____Gem @CraigGaIIagher Pot meet kettle, groomer."
ForSacramento,2020-05-31 16:24:22+00:00,0,,@KiraPatterson17 @artman182 @NPR @WBEZ Dog groomer? LOL.
Shatterface,2020-05-31 16:20:59+00:00,1,,@michellelynn097 @_____Gem @CraigGaIIagher Ok groomer.
N15H4T,2020-05-31 16:16:53+00:00,0,,@realDonaldTrump Calm down groomer. https://t.co/X5jq8Wc4Vk
JesseAaron8,2020-05-31 16:05:42+00:00,0,,@realDonaldTrump Okay groomer
doggroomeracade,2020-05-31 16:05:26+00:00,0,,I love you mom @doggroomeracade @ Dog Groomer Academy https://t.co/HB8drxNMKy
Nerdychick92,2020-05-31 16:02:59+00:00,1,,"@chasinglux Little bit of animal crossing work, probably play PS4 for a bit, take the puppy to groomer"
Heatherkellyyy,2020-05-31 15:49:55+00:00,1,,@scottenitfam @tearrach @InnercircleJ @ElticeK @TarbhEireann @faisafgh123 Morals ?? Your bio says child groomer and you told me to kill myself please don’t speak about morals
paganeagle2001,2020-05-31 15:46:55+00:00,0,,@ShadowsCherry @SpookiLord Still waiting for that evidence that you said I'm a groomer....
PoetInDarkness,2020-05-31 15:46:28+00:00,0,,@paninihead_exe Que es un groomer?
oppuc3,2020-05-31 15:44:46+00:00,0,,oppuc3 works as a groomer at AppleBees
richiehead,2020-05-31 15:35:56+00:00,0,,"To expand on this with a personal anecdote, Rowling is threatening to sue someone for pointing out she liked transphobic statements and follows transphobic organisations. Graham Linehan called me a ""groomer"" for pointing out that ALL abuse victims deserve support."
Kimbchr,2020-05-31 15:31:50+00:00,1,,@krlangston1965 Forcing myself to get dressed! The dog groomer comes at 1PM ! All 4 dogs being done in the house ! You look 👍 great.. keep up the good work!
paganeagle2001,2020-05-31 15:26:28+00:00,0,,"@ShadowsCherry @SpookiLord No, not that... The evidence you imply that I am a groomer, of which I am not.

Please bring that evidence."
SpookiLord,2020-05-31 15:25:29+00:00,1,,"what do you do when called a groomer when defending grooming? use the ""ill call my lawyer stance"""
BlueMouseEeek,2020-05-31 15:22:48+00:00,1,,@Rolnikov @john_boyne @jk_rowling We have a different view on this specific tweet that I'm not going to argue about having explained my pov. I have been called far worse on a daily basis and I've seen blue tick accounts call People groomer.with little come back. Limits vary depending on influence.
ShadowsCherry,2020-05-31 15:20:07+00:00,0,,@paganeagle2001 @SpookiLord Are you a groomer? Or do you endorse it coz that's what it fucking sounds like to me who cares if it's only x amount of people at least word will spread for this poor girl
0livejews,2020-05-31 15:13:57+00:00,0,,Lol someone on fb feed tried to compare being a cop to being a dog groomer. White people are so out of touch it’s dangerous and scary.
Memelord229,2020-05-31 15:10:57+00:00,1,,@Gurenktfv So either way they're gonna elect a child groomer.
kaliopepart,2020-05-31 15:09:08+00:00,1,,"@PKBNews she's sweet. spent 6 hours at groomer the other day, combing and blowing out her hair. it is quite a task with her curls. 
a dog got bit at dog park the other day, so she's bored w/ just walking. headed to my sisters so she can run around."
BlueMouseEeek,2020-05-31 15:01:56+00:00,2,,@Rolnikov @john_boyne @jk_rowling I wish people would think about that before calling names such as groomer. Twitter would be a nicer place.
