User,Date Created,Number of Likes,Source of Tweet,Tweets
FrenchFryAero,2021-05-31 23:06:11+00:00,0,,Holy crap. Y’all gotta check this out pronto and make sure to get the word out so that this groomer doesn’t do the same atrocious shit to anyone else highkey
oppuc3,2021-05-31 23:00:21+00:00,0,,"What if Chugchog were like, a groomer at DailyMotion"
ReggiePubby,2021-05-31 22:55:45+00:00,1,,@WolfMommaShadow No arguing hes a groomer tho
JoyPalm,2021-05-31 22:49:31+00:00,1,,Took my dog to @PetSmart Grooming salon #unevencut after adding their #topdog option.  I was told NOT to come back unless I drug my dog because he prefers towel-drying instead of dryer.  So groomer put him kennel to air-dry #Petsmart #doggroomingfail #dogs https://t.co/M4zNv5e5IJ
foxthatbarks,2021-05-31 22:49:28+00:00,2,,"@PH0TALT @PhotorinKaynyne minty is a predator and a groomer. this is not just run-of-the-mill drama, and you are actively supporting someone who has been proven to be a shitty person."
AquaDragon85,2021-05-31 22:48:53+00:00,2,,@Zarc_OwO I supported him before I found out he was a groomer. I'm so dissapointed and hurt that he ended up that way tbh. I'm no longer a supporter.
HarliKiri,2021-05-31 22:46:57+00:00,0,,"Fuck those four women in particular. For anyone who doesn’t know the story of Xell (a groomer), read this."
HarliKiri,2021-05-31 22:42:52+00:00,0,,@orionpax5000 @BanishedJourno A groomer who was outed and has been sperging ever since
RJo00,2021-05-31 22:41:53+00:00,0,,"@SpooderMoonUwU @GregoryWhitta13 @Whiterosehip01 @ThoughtWordRead @courtney2886 @saaranghaeyo @ChiefBrody19 @LGBTLD @stonewalluk Now we have super creepy groomer guy saying paedo.  

It's that it fellas.   Anything but have to answer a question you don't want to.. Because.. reasons.

🥱🥴😂Is this what a empire in decline looks like...?"
KaiSarutobi,2021-05-31 22:41:48+00:00,0,,"@Throwaw89655183 @AgentJpeg @valeee12053809 @BigViberTM He groomed her bro. He came out to his friends about it and they all told him it's fucked. 
Can't protect a groomer fanboy"
Goth_Gf_AnChan,2021-05-31 22:25:27+00:00,2,,@Darashinai_K Mfs really be defending a groomer 🤡
Hydro_Altriogon,2021-05-31 22:20:37+00:00,2,,@FenrisMau He was recently called out as a groomer.
LordWordfab,2021-05-31 22:20:07+00:00,0,,"@BleedingFool Be amazed by Mark Waid, the wokest of all white male comics pros, as he 'deconstructs' the Xavier dream of mutants/himans of all races/creeds/sexualities and reduces Xavier to a child groomer and turns him into Eric Lensherr's Id.

Real 'Woke"" to mentally abuse Jean Grey."
graveyardgem,2021-05-31 22:17:23+00:00,0,,like ugh if i ever saw her parents i would make them feel like SHIT. its entirely their fault shes dead. (and the grown mans but mostly them) ugh cases like this make me wanna skin the family and the groomer alive because what the entire fuck
Pancake_Corgi,2021-05-31 22:16:17+00:00,0,,@MintyTheKittyy Whats a groomer
DmtLow,2021-05-31 22:13:25+00:00,0,,@Oofyboy236 @CallMeCarsonYT Only You can forgive law cannot &amp; will never brainwashed child and when you grow to be an adult of 18 years which is also teenage check on yourself because you’ve groomer &amp; pedo tendencies
pumpkin_blind,2021-05-31 22:08:42+00:00,1,,@undeadscribe Isn’t that person a groomer
TotallyNotAlina,2021-05-31 22:05:55+00:00,5,,"not to mention the video is just mocking the groomer, nothing wrong with that right?"
why16961330,2021-05-31 22:03:09+00:00,1,,"You birches try, but never try hard enough 🥱
The only reason y’all brought this up was bc Mr. wu here got exposed for being a groomer.  He’s a 30 year old man admiring some 18 y/o

Try harder next time babes but you will always fail &lt;3"
oppuc3,2021-05-31 22:01:15+00:00,0,,"What if sushipantsu were like, a groomer at AppleBees"
aphelieas,2021-05-31 21:58:38+00:00,2,,"tw // grooming 

cannot believe a fucking groomer has 3.6k followers. i should have that instead"
Darashinai_K,2021-05-31 21:57:35+00:00,38,,Deleted that art piece I made for minty asap 💀💀 I prefer to not give a groomer a platform and shit since the news came out.
A_he_ja_,2021-05-31 21:57:32+00:00,0,,@chandeloor Ok a vet assistant thought you were a groomer
BCWildfireWkly,2021-05-31 21:54:53+00:00,0,,"@CEDRdigital Google Maps &amp; The Official @NevCoFair Website Has The Address As 11228 McCourtney Rd, Grass Valley, CA.

11310 McCourtney Rd in Grass Valley appears to be a dog boarding place/groomer.

#HuttoFire https://t.co/zFMjPriMhW"
LoimoIogy,2021-05-31 21:51:05+00:00,0,,"@soIitudesend doesnt matter HOW its shown

its still showing they're a groomer"
andresgrooming,2021-05-31 21:35:45+00:00,0,,Acaba de publicar una foto en Peluquería Canina Andrés Martínez Professional Dog Groomer https://t.co/rvsrW6fc2v
CatDelaware,2021-05-31 21:33:49+00:00,0,,@Steveeeeevil @Fantastical_A @tpope88834 @Forbes Sure groomer. Antifa and blm are just as bad. Seethe
AleighaforWonho,2021-05-31 21:32:25+00:00,1,,REZA A GROOMER??? What fucking business does a 25 years old GROWN man have with a 16 yr old ruby nah nah nah  JAIL https://t.co/BCAPYXfILD
CatDelaware,2021-05-31 21:31:53+00:00,0,,@Fantastical_A @Steveeeeevil @tpope88834 @Forbes Okay groomer
y_mian,2021-05-31 21:30:31+00:00,0,,@mirabarhillel Watch the interview of Prince Andrew Groomer of Royal Grooming GANG and the mystery would be solved.
CatDelaware,2021-05-31 21:28:44+00:00,0,,@Steveeeeevil @Fantastical_A @tpope88834 @Forbes Okay groomer
LilR3x,2021-05-31 21:28:08+00:00,0,,I don't fully understand how him being a groomer makes his claims of having been raped less believable. The only logical reason that comes to my mind is that people now believe it was just another one of his many tactics to gain sympathy from others.
CatDelaware,2021-05-31 21:25:01+00:00,0,,@Steveeeeevil @Fantastical_A @tpope88834 @Forbes Okay groomer
neoncaelestis,2021-05-31 21:20:44+00:00,31,,it's genuinely hard seeing a friend close to me come out and just be a massive piece of shit groomer and asshole
Isaiah31011,2021-05-31 21:17:59+00:00,0,,@altern8ending Again and again. Dude is groomer. 🤢
HiCallierounds,2021-05-31 21:16:47+00:00,1,,"@oMztyy @FlareonOW @CicadaOW Things aren't so black and white that ""criticizing what the victim could have done better = it is entirely the fault of the victim and now the groomer is innocent."" Obviously whoever tried to groom cicada is despicable, that doesn't mean she can't suggest he not go in 18+ spaces"
ShibaMaru_VT,2021-05-31 21:14:48+00:00,4,,ok groomer ✨
MlUMlUGAL,2021-05-31 21:13:31+00:00,3,,unless my groomer counts
TrashyTruuMoo,2021-05-31 21:10:28+00:00,2,,"@Sp1witB0x it's one thing if Cicada was actively lying about their age, but considering the groomer very much knew they were underaged is mega gross and shows that this person has no respect"
Azu_Crystal,2021-05-31 21:09:10+00:00,2,,@NouilleOka A groomer is basically someone who conditions someone else (who is usually a minor) to basically be okay with doing/talking about sexual activities that they would otherwise be extremely uncomfortable with
CrushedLoliFeet,2021-05-31 21:07:51+00:00,3,,lvl. 99 groomer https://t.co/ajaYTT9i8S
SEBUTHEWORLD,2021-05-31 21:07:03+00:00,6,,@Jakerroh @SteppingOnNyas for defending a cheater and a groomer and also some of yall claiming luna is doing this for clout or only sought clout outta toast or whatever the fuck one of yall was talkin about when you said that stupid shit what kind of dumbass question is that
najaikari,2021-05-31 21:02:27+00:00,0,,All it’s gonna take is another fame-hogging groomer to retard furry twitter into dreamtwt.
sleepyui_,2021-05-31 21:00:48+00:00,0,,"@Giantfatherdrip @twomad actually did the most damage was the girl who called carson a pedophile groomer, she retracted but the damage was already done. carson didn't do anything wrong other than having provocative pictures of an underage girl. the argument of saying: so every high schooler who owns"
gabrielluhh__,2021-05-31 20:59:44+00:00,1,,Can somebody please recommend a mobile dog groomer :)
SheIlHours,2021-05-31 20:57:13+00:00,2,,"@BarryBruvv groomer (actual one though), sent nudes to people they KNEW were 16/17 and some other stuff i don't wanna get into. You guys wouldn't know them either"
NouilleOka,2021-05-31 20:52:49+00:00,0,,"@Desu_Azu I don't wanna missunderstand, so, what is a groomer ? A pedophile or there is a difference ?"
oppuc3,2021-05-31 20:50:27+00:00,0,,"What if Linus were like, a groomer at McDonalds"
ShirlsPierce,2021-05-31 20:50:26+00:00,4,,"When i cant get Paul to the groomer i take over. Sure it’s not going to perfect AT ALL. Hate when mom and sister have shit to say about it. Stfu, in the words of Kanye “If you think you can do it better than me then YOU DO IT!”"
Piss__inaBottle,2021-05-31 20:49:47+00:00,11,,@_Riddxck My source is Klopps groomer tbf
Fiercelove4real,2021-05-31 20:48:25+00:00,1,,"@PalladiumBooks Watching Ceasar, the best Exotic pet groomer in the world work is such a privilege!"
avalitrolling,2021-05-31 20:46:42+00:00,1,,@E10Nutz faked kidney disease also groomer
woggillini,2021-05-31 20:43:16+00:00,1,,"@Bombdiggy_ if youre triggered, you ban the pedophile/groomer...not time out the guy calling him out. You were literally there for ALL the streams I did about that fucking disgusting human. I shouldnt have to ""ask for mod"" to have someone like that banned in my friends chat."
cakeassliss,2021-05-31 20:37:56+00:00,25,,"@twomad Nobody has come close to the content he made with his video ideas, many can regard him as groomer but he will always be a huge inspiration. Youtube will never be the same"
Alytabby,2021-05-31 20:36:50+00:00,9,,"A groomer i watch on youtube was grooming a fat as lab, and they are like ""Don't judge to quickly, they have a toddler at home""
So??? Having a child is not a excuse to let your dog get obese. Thats just pure laziness and using a child as your excuse."
sashacharnin,2021-05-31 20:33:27+00:00,0,,This guy wears the best clothes and works with the best groomer!  @goldpawseries custom camouflage and @bark_avenue_grooming super cut! @meetmoegreene https://t.co/GPZ1fQTPVC
woggillini,2021-05-31 20:31:48+00:00,8,,"if you still let ""onexcoke"" on twitch into your chat..im going to call him out for being a groomer and a pedophile...i dont care if it ruins your vibe or your stream....especially if you KNOW what hes done."
TheMiloArts,2021-05-31 20:31:14+00:00,1,,"@JCBtheOreo Jesus Christ

Look, I KNOW that the person who's trans is in the wrong here, but HOLY shit that is such a disgusting stereotype of trans people

They aren't all pedophiles for gods sake. However, OP and the groomer should have scarabs ctawl up their urethra"
BernieSnder,2021-05-31 20:26:14+00:00,0,,@FrostArcticFox Why am I not surprised a furry was a groomer
woggillini,2021-05-31 20:24:43+00:00,19,,If me calling out a groomer/pedophile in your chat ruins your vibe then I dont wanna be a part of it KEKW
morganxcromwell,2021-05-31 20:23:18+00:00,10,,Damn twitter! Shut the fuck up for a day! this past week was enough drama and groomer-defending to last a month! shut the fuck up! shut up!
SunpawSunfoox,2021-05-31 20:17:36+00:00,1,,@iGenesis_X Yeah I heard about it and I felt really bad about it and all but like rn I'm dealing with another groomer who's been banned and cancelled twice already and is coming back for a third time and really don't need another groomer just so I can slap them and tell them to get help :T
Lowandbehold4,2021-05-31 20:16:38+00:00,0,,That man diddy is a “groomer” idc idc idc his creeps can’t even be hidden anymore!
oppuc3,2021-05-31 20:11:15+00:00,0,,"What if Eggy were like, a groomer at DailyMotion"
azcaft,2021-05-31 20:10:09+00:00,6,,@Onision Groomer
azcaft,2021-05-31 20:10:05+00:00,2,,@Onision Groomer
